ID,Fire,Plot_ID,PlotID_noyr,Year,Species,OMU,DBH,TotHeight,LYHeight,LYGrowth,BudScars,Sprouts,Tally,Comments,fire_year,seed_estab_yr,post_fire_estab,max_ht,value,Visit
24,Power,PWR1400008,PWR008,2022,CADE,U,NA,49.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
25,Power,PWR1400008,PWR008,2022,CADE,U,NA,42.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
26,Power,PWR1400008,PWR008,2022,CADE,U,NA,65.0,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
27,Power,PWR1400008,PWR008,2022,CADE,U,NA,72.0,NA,NA,NA,NA,1,Original main stem died. Measured live shoot from base of original at ground level.,2004,NA,NA,NA,NA,revisit
28,Power,PWR1400008,PWR008,2022,CADE,O,3.0,186.0,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
29,Power,PWR1400008,PWR008,2022,ABCO,U,NA,49.0,43.5,5.5,9,NA,1,NA,2004,2013,9,NA,NA,revisit
30,Power,PWR1400246,PWR246,2022,ABCO/PSME,U,NA,6.0,NA,NA,0,NA,1,Unable to key. Photos: 114015 & 114025. YoY,2004,2022,18,NA,NA,revisit
31,Power,PWR1400246,PWR246,2022,ABCO/PSME,U,NA,4.0,NA,NA,0,NA,1,Unable to key. Photos: 114015 & 114025. YoY,2004,2022,18,NA,NA,revisit
32,Power,PWR1400246,PWR246,2022,PIPJ,U,NA,6.5,NA,NA,0,NA,1,Unable to key. Photos: 114349 & 114401. No cotyledon. YoY,2004,2022,18,NA,NA,revisit
33,Power,PWR1400246,PWR246,2022,CADE,U,NA,7.0,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
34,Power,PWR1400246,PWR246,2022,CADE,U,NA,6.0,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
35,Power,PWR1400246,PWR246,2022,PIPJ,O,7.0,350.0,330.0,40.0,11,NA,1,NA,2004,2011,7,NA,NA,revisit
36,Power,PWR1400246,PWR246,2022,ABCO/PSME,U,NA,5.5,NA,NA,0,NA,1,Unable to key. Photos: 115351 & 115336. YoY,2004,2022,18,NA,NA,revisit
37,Power,PWR1400246,PWR246,2022,PIPJ,O,15,601.0,507.0,50.0,14,NA,1,NA,2004,2008,4,NA,NA,revisit
38,Power,PWR1400246,PWR246,2022,PIPJ,U,NA,21,9.5,2.5,5,NA,1,NA,2004,2017,13,NA,NA,revisit
39,Power,PWR1400246,PWR246,2022,CADE,U,NA,7.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
40,Power,PWR1400246,PWR246,2022,CADE,U,NA,5.0,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
41,Power,PWR1400246,PWR246,2022,CADE,U,NA,6.0,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
42,Power,PWR1400246,PWR246,2022,CADE,U,NA,6.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
43,Power,PWR1400246,PWR246,2022,CADE,U,NA,6.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
44,Power,PWR1400246,PWR246,2022,CADE,U,NA,5.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
45,Power,PWR1400246,PWR246,2022,CADE,U,NA,8.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
46,Power,PWR1400246,PWR246,2022,CADE,U,NA,7.0,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
47,Power,PWR1400246,PWR246,2022,QUKE,U,NA,8.0,NA,NA,NA,NA,1,seeded,2004,NA,NA,NA,NA,revisit
48,Power,PWR1400246,PWR246,2022,CADE,U,NA,6.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
49,Power,PWR1400246,PWR246,2022,CADE,U,NA,7.0,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
50,Power,PWR1400246,PWR246,2022,CADE,U,NA,43.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
51,Power,PWR1400246,PWR246,2022,CADE,O,NA,124.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
52,Pendola,PNT1100077,PNT077,2022,CADE,U,NA,116.0,NA,NA,NA,NA,1,NA,1999,NA,NA,NA,NA,revisit
53,Pendola,PNT1100077,PNT077,2022,LIDE,U,NA,50.75,NA,NA,NA,NA,1,Seeded,1999,NA,NA,NA,NA,revisit
54,Pendola,PNT1100077,PNT077,2022,LIDE,U,NA,114.5,NA,NA,NA,NA,1,Seeded,1999,NA,NA,NA,NA,revisit
